execution_id,run_id,project_id,project_name,test_case_id,test_case_name,test_case_created_at,creation_week_start,suite_name,execution_started_at,execution_week_start,environment,browser,status,duration_seconds,retry_attempt,is_flaky,consecutive_failure_count,repeat_failure_flag,failure_category,agent_name,katalon_version
EXEC-0000001,RUN-00001,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-05-27T17:47:26Z,2026-05-25,QA,Edge,SKIPPED,321,0,0,0,0,,agent-6,10.2.0
EXEC-0000002,RUN-00001,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-05-27T10:44:17Z,2026-05-25,QA,Chrome,PASSED,327,0,0,0,0,,agent-6,10.2.1
EXEC-0000003,RUN-00001,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-05-27T13:13:28Z,2026-05-25,QA,Edge,PASSED,359,0,0,0,0,,agent-5,10.1.1
EXEC-0000004,RUN-00001,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-05-28T10:35:46Z,2026-05-25,Staging,Chrome,PASSED,106,0,0,0,0,,agent-3,10.2.1
EXEC-0000005,RUN-00002,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-05-29T15:27:55Z,2026-05-25,QA,Chrome,PASSED,200,0,0,0,0,,agent-1,10.2.1
EXEC-0000006,RUN-00002,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-05-28T09:39:06Z,2026-05-25,Staging,Edge,PASSED,58,0,0,0,0,,agent-4,10.1.1
EXEC-0000007,RUN-00002,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-05-30T07:55:45Z,2026-05-25,Staging,Edge,FAILED,128,0,0,1,0,Test data,agent-2,10.1.1
EXEC-0000008,RUN-00002,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-05-29T07:40:33Z,2026-05-25,QA,Edge,PASSED,351,0,0,0,0,,agent-4,10.2.0
EXEC-0000009,RUN-00003,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-01T14:55:50Z,2026-06-01,QA,Chrome,PASSED,179,0,0,0,0,,agent-5,10.2.0
EXEC-0000010,RUN-00003,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-01T13:10:30Z,2026-06-01,Staging,Edge,PASSED,75,0,0,0,0,,agent-5,10.1.1
EXEC-0000011,RUN-00003,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-03T17:49:42Z,2026-06-01,QA,Chrome,PASSED,73,0,0,0,0,,agent-5,10.2.0
EXEC-0000012,RUN-00003,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-01T16:21:12Z,2026-06-01,Staging,Edge,FAILED,29,1,0,1,0,Assertion,agent-3,10.2.1
EXEC-0000013,RUN-00003,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-05T10:06:55Z,2026-06-01,Staging,Edge,PASSED,110,0,0,0,0,,agent-4,10.2.1
EXEC-0000014,RUN-00003,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-02T16:35:08Z,2026-06-01,Staging,Edge,PASSED,60,0,0,0,0,,agent-3,10.2.1
EXEC-0000015,RUN-00003,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-03T12:29:17Z,2026-06-01,Staging,Chrome,PASSED,111,0,0,0,0,,agent-5,10.2.0
